Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question94,14. What is the molar concentration of a solution with 32 grams of SO2 in 0.5 liter solution?,"a)	1 mole/liter","b)	2 mole/liter","c)	3 mole/liter","d)	4 mole/liter",a,Explanation: Molar concentration = (32/64)/0.5 = 1 mole/liter.
Question95,15. What is the molar concentration of a solution with 49 grams of H2SO4 in 0.5 liter solution?,"a)	1 mole/liter","b)	2 mole/liter","c)	3 mole/liter","d)	4 mole/liter",a,Explanation: Molar concentration = (49/98)/0.5 = 1 mole/liter.
Question96,1. Which of the following is not a unit of temperature?,"a)	Celsius","b)	Fahrenheit","c)	Therm","d)	Rankine",c,"Explanation: Them is a unit of energy, 1 therm = 105 BTU."
Question97,2. Which of the following is greatest?,"a)	10oC","b)	10oR","c)	10oF","d)	10 K",a,"Explanation: 10oC = 283 K = 50oF = 510oR, => 10oC is greatest."
Question98,3. Absolute zero temperature is approximately equal to?,"a)	-160oR","b)	-273oR","c)	-373oR","d)	-460oR",d,Explanation: Absolute zero temperature = 0 K = -273oC = -460oR.
Question99,"4. If change in temperate is 212 degree Fahrenheit, what is the change in temperature in degree Rankine?","a)	100oR","b)	212oR","c)	273oR","d)	460oR",b,"Explanation: Since ÆTR = ÆTF, => 212oF = 212oR."
Question100,"5. If change in temperate is 180 degree Rankine, what is the change in temperature in degree Celsius?","a)	100oC","b)	180oC","c)	212oC","d)	273oC",a,"Explanation: ÆTR = 1.8ÆTC, => Change in temperature = 180/1.8 = 100oC."
Question101,"6. Let us say temperature of a body in degree Celsius and degree Rankine are related as TC = 50 + 3TR, what is the change in temperature in Kelvin, if the change in temperature in degree Rankine is 100oR?","a)	300 K","b)	180 K","c)	100 K","d)	90 K",a,"Explanation: ÆTC = 3ÆTR, => ÆTC = 3*100 = 300oC, => ÆTK = ÆTC = 300 K."
Question102,7. What is the value of 100oC in degree Fahrenheit?,"a)	212oF","b)	460oF","c)	672oF","d)	884oF",a,Explanation: TF = (9/5)100 + 32 = 212oF.
Question103,8. What is the value of 273 K in degree Rankine?,"a)	0oR","b)	32oR","c)	492oR","d)	672oR",c,Explanation: TR = (9/5)(273 Ð 273) + 492 = 492oR.
Question104,"9. Volume of an object is dependent upon its temperature in degree Celsius as V = a + bTC, what is the dependence of volume upon temperature in degree Rankine?","a)	V = a + 32b + 9bTR/5","b)	V = a + 492b + 9bTR/5","c)	V = a + 492b + 5bTR/9","d)	None of the mentioned",b,"Explanation: TC = 492 + 9TR/5, => V = a + b(492 + 9TR/5), => V = a + 492b + 9bTR/5."
Question105,"10. Mass and volume of an object is dependent on its temperature in kelvin as m = 5t2 kg and v = (400 + 600t) m3 respectively, then what is the density of the object at t = 27oC?","a)	 5 kg/m3","b)	10 kg/m3","c)	15 kg/m3","d)	20 kg/m3",a,"Explanation: Density of object = dm/dv = (dm/dt)/(dv/dt) = 10t/600 = t/60, => density of object at t = 27oC = 300 K is D = 300/60 = 5 kg/m3."
Question106,"11. Heat capacity of a substance is given by C = 800 Ð 1600T + 25T2, where T is temperature in degree Fahrenheit, what is the heat capacity if temperature is in degree Celsius?","a)	81T2 + 24800","b)	81T2 Ð 24800","c)	25T2 + 24800","d)	25T2 Ð 24800",b,"Explanation: Temperature in degree Fahrenheit, TF = (9/5)TC + 32, replacing TF in C, => C = 81T2 Ð 24800."
Question107,"12. Heat capacity of a substance is given by C = BT2, where T is in degree Fahrenheit and the value of B is 50, what is the value of B if T is in degree Celsius?","a)	81","b)	25","c)	162","d)	100",c,Explanation: TF = 9TF/5 + 32 => coefficient of T2 in C will be B*(9/5)2 = 50*81/25 = 162.
Question108,13. What is the temperature 100oC in degree Rankine?,"a)	100oR","b)	212oR","c)	560oC","d)	672oC",d,Explanation: Temperature = 9(100)/5 + 32 + 460 = 672oR.
Question109,14. What is the 100oC in degree Fahrenheit?,"a)	0oF","b)	100oF","c)	212oF","d)	460oF",c,Explanation: Temperature = 9(100)/5 + 32 = 212oF.
Question110,15. What is the 40oF in degree Rankine?,"a)	313oR","b)	460oR","c)	500oR","d)	672oR",c,Explanation: Temperature = 40 + 460 = 500oR.
Question111,1. Which of the following is not a unit of pressure?,"a)	Bar","b)	N/m2","c)	Kg/m2","d)	Torr",c,Explanation: Pressure is force per unit area so Kg/m2 cannot be a unit of pressure.
Question112,2. What is the value of 760 Torr in Pascal?,"a)	1.01325 X 105","b)	6.025 X 105","c)	12.05 X 104","d)	3.0125 X 105",a,Explanation: 760 Torr = 1 atm = 1.01325 X 105.
Question113,3. How many Pascal does 1 bar have?,"a)	104","b)	105","c)	106","d)	107",b,Explanation: 1 bar = 100 kPa = 105 Pa.
Question114,4. Which of the following equals 760 mm of Hg?,"a)	1 atm","b)	1 Pa","c)	1 bar","d)	1 torr",a,Explanation: 760 mm of Hg = 101.325 kPa = 1 atm.
Question115,5. 1 psi equals how many kilopascal?,"a)	5.249","b)	6.894","c)	7.489","d)	8.846",b,Explanation: 1 psi = 6894 Pa = 6.894 kPa.
Question116,6. What is the pressure of 50 kPa in bars?,"a)	0.25","b)	0.5","c)	1","d)	2",b,Explanation: Pressure = 50/100 = 0.5 bar.
Question117,7. What is the pressure of 200 kPa in bars?,"a)	0.25","b)	0.5","c)	1","d)	2",d,Explanation: Pressure = 200/100 = 2 bar.
Question118,8. What is the pressure of 380 torr in atm?,"a)	0.5","b)	1","c)	2","d)	4",a,Explanation: Pressure = 380/760 = 0.5 atm.
Question119,9. What is the pressure of 190 torr in atm?,"a)	0.25","b)	0.5","c)	0.8","d)	1",a,Explanation: Pressure = 190/760 = 0.25 atm.
Question120,10. What is the pressure of 38 mm Hg in atm?,"a)	0.05","b)	0.5","c)	1","d)	5",a,Explanation: Pressure = 38/760 = 0.05 atm.
Question121,11. What is the pressure of 1900 mm Hg in atm?,"a)	0.5","b)	1","c)	1.5","d)	2.5",d,Explanation: Pressure = 1900/760 = 2.5 atm.
Question122,12. What is the pressure of 19 mm Hg in pascal?,"a)	1012","b)	2533","c)	3654","d)	6412",b,Explanation: Pressure = 19/760*101325 = 2533 Pa.
Question123,13. What is the pressure of 38 mm Hg in Torr?,"a)	0.05","b)	0.5","c)	1","d)	38",d,Explanation: Pressure = 38 Torr.
Question124,14. What is the pressure of 380 Torr in bar?,"a)	0.13","b)	0.49","c)	0.5","d)	1",b,Explanation: Pressure = 380/760*100000/101325 = 0.49 bar.
Question125,15. What is the pressure of 1900 Torr in bar?,"a)	2.1","b)	2.3","c)	2.4","d)	2.5",c,Explanation: Pressure = 1900/760*100000/101325 = 2.4 bar.
Question126,1. What is the pressure if 10 N of force is acting normally on 5 m2 surface area?,"a)	2 Pa","b)	4 Pa","c)	8 Pa","d)	10 Pa",a,Explanation: Pressure = 10/5 = 2Pa.
Question127,2. What is the pressure if 10 N of force acts at 60 degrees from the normal of a 5 m2 surface?,"a)	0.5 Pa","b)	1 Pa","c)	2 Pa","d)	4 Pa",b,"Explanation: Normal component of the force = 10cos60o = 10*0.5 = 5 N, => Pressure = 5/5 = 1 Pa."
Question128,3. What is the pressure if 10 N of force acts at 30 degrees from the surface of area 5 m2?,"a)	1 Pa","b)	2 Pa","c)	5 Pa","d)	10 Pa",a,"Explanation: Normal component of the force = 10sin30o = 10*0.5 = 5 N, => Pressure = 5/5 = 1 Pa."
Question129,4. What is the pressure of 1 mole of an ideal gas at 27oC occupying 1 Liter of volume?,"a)	12.31 atm","b)	24.63 atm","c)	36.95 atm","d)	48.94 atm",b,"Explanation: For ideal gas PV = nRT, => P = 1*0.0821*300/1 = 24.63 atm."
Question130,"5. An open tank 10 m deep is completely filled with a liquid of density 5 kg/m3, what is the pressure difference at the top and bottom?","a)	100 N/m2","b)	250 N/m2","c)	500 N/m2","d)	1000 N/m2",c,Explanation: Pressure difference = dgh = 5*10*10 = 500 N/m2.
Question131,"6. 10 mm of water (density = 1000 kg/m3) and 5 mm of a liquid has the same pressure drop, what is the density of liquid?","a)	500 kg/m3","b)	1000 kg/m3","c)	1500 kg/m3","d)	2000 kg/m3",d,"Explanation: pressure of water = pressure of liquid, => d1h1 = d2h2, => 10*1000 = 5*d2, => d = 2000 kg/m3."
Question132,7. Which of the following is not a pressure measuring device?,"a)	Manometer","b)	Barometer","c)	Galvanometer","d)	None of the mentioned",c,Explanation: Galvanometer is used to measure current.
Question133,8. BernoulliÕs Equation is the conservation of?,"a)	Energy","b)	Momentum","c)	Pressure","d)	Mass",a,Explanation: BernoulliÕs equation is modified form of conservation of energy equation.
Question134,9. What is the pressure difference of the ends of a U-tube manometer filled with liquid (density = 10 kg/m3) the difference in the height of the liquid in the tubes is 5 cm?,"a)	5 N/m2","b)	10 N/m2","c)	15 N/m2","d)	20 N/m2",a,Explanation: Pressure difference = dgh = 10*10*0.05 = 5 N/m2.
Question135,"10. A hydraulic lever has input surface area 2 m2, and output surface area 10 m2, if the input force is 5 N, then what is the output force?","a)	1 N","b)	2 N","c)	5 N","d)	10 N",a,"Explanation: Hydraulic lever works on the PascalÕs principle, => F1A1 = F2A2, => 5*2 = F2*10, => F2 = 1 N."
Question136,"11. A Closed U-tube manometer has a gas at one end and vacuum at other end, if the height difference of the liquid (density = 10 kg/m3) in the manometer in 5 cm, what is the pressure of the gas?","a)	10 N/m2","b)	5 N/m2","c)	2.5 N/m2","d)	1 N/m2",b,Explanation: Pressure of the gas = dgh = 10*10*0.05 = 5 N/m2.
Question137,12. ArchimedesÕ principle describes which of the following quantities?,"a)	Pressure","b)	Buoyancy","c)	Velocity","d)	Mass",b,Explanation: ArchimedesÕ principle states that buoyant force on a body is equal to the weight of the body.
Question138,"13. An object is dipped in water, if the weight of the object measured by spring balance is 10 g and buoyancy force acting on the object is 0.1 N then what is the actual mass of the object?","a)	10 g","b)	20 g","c)	30 g","d)	40 g",b,"Explanation: Weight of the object = (10*10Ð3)*10 + 0.1 = 0.2 N, => actual mass of the object = 0.2/10 = 0.02 kg = 20 g."
Question139,"14. An open end manometer is filled with a gas on one end and other end is open to atmosphere with height difference of liquid (density = 10000 Kg/m3) 10 cm, what is the pressure of gas?","a)	1 atm","b)	1.1 atm","c)	1.2 atm","d)	1.3 atm",b,Explanation: Pressure = 1 + 10000*10*0.1/101325 = 1.1 atm.
Question140,"15. A closed end manometer is filled with a gas on one end and other end is close with vacuum, height difference of liquid (density = 10000 Kg/m3) 25 cm, what is the pressure of gas?","a)	0.1 atm","b)	0.24 atm","c)	0.36 atm","d)	0.9 atm",b,Explanation: Pressure = 10000*10*0.25/101325 = 0.24 atm.
Question141,1. Which of the following is used for the pressure measurement of only liquid?,"a)	Manometer","b)	Piezometer","c)	Differential Manometer","d)	None of the mentioned",b,Explanation: Piezometer is a pressure measuring device used to measure the pressure of liquid only.
Question142,2. Which of the following is used to measure a pressure of only gas?,"a)	U-tube manometer","b)	Piezometer","c)	Differential Manometer","d)	None of the mentioned",a,Explanation: U-tube manometer is used to measure the pressure of gas only.
Question143,3. What is the difference between manometer and differential manometer?,"a)	Differential manometer has gas in empty space","b)	Manometer has gas in empty space","c)	Differential manometer has liquid in empty space","d)	Manometer has liquid in empty space",a,Explanation: Differential manometer has gas in empty space while manometer has a vacuum.
Question144,4. Which of the following device is used to measure the velocity of flow?,"a)	Manometer","b)	Venturi meter","c)	Pitot tube","d)	None of the mentioned",c,Explanation: Pitot tube is used to measure the velocity of flow.
Question145,5. A U-tube manometer is open at one end and has a gas at the other end if the level of the mercury in both legs of the manometer is equal then what is the temperature of the gas?,"a)	1 Pa","b)	1 Torr","c)	1 mm Hg","d)	1 atm",d,"Explanation: Since the level of mercury in both legs are equal, this means that pressure is equal on both ends, => pressure of gas = pressure of atmosphere = 1 atm."
Question146,"6. A U-tube manometer is closed at both ends one end is vacuum and other end has a gas, if the difference in level of mercury is h = 10 mm, what is the pressure of gas?","a)	1.33 Pa","b)	1.45 Pa","c)	1.56 Pa","d)	1.75 Pa",a,"Explanation: Since the other end of the manometer has vacuum, this means the pressure of gas is equal to the difference in pressure of mercury in both ends, => Pressure of gas = d*g*h = 13.6*9.8*0.01 = 1.33 Pa."
Question147,"7. A closed U-tube manometer has a gas on one end with pressure 10 Pa and other end has vacuum, what is the approximate density of the liquid if the height difference of the liquid is 10 cm?","a)	1 Kg/m3","b)	10 Kg/m3","c)	100 Kg/m3","d)	1000 Kg/m3",b,"Explanation: Pressure of gas = Pressure due to height difference of liquid = d*g*h, => 10 = d*10*0.1, => d = 10 Kg/m3."
Question148,"8. A closed U-tube manometer has a gas on one end with pressure 5 Pa and other end has vacuum, what is the approximate height difference of the liquid if the density of liquid is 10 Kg/m3?","a)	5 mm","b)	10 mm","c)	50 mm","d)	100 mm",c,"Explanation: Pressure of gas = Pressure due to height difference of liquid = d*g*h, => 5 = 10*10*h => h = 0.05 m = 50 mm."
Question149,"9. A closed manometer is filled with 3 fluids first on the left leg with density 8 kg/m3 and length 10 cm, middle one with density 10 kg/m3 and height difference 5 cm more on right leg and the third on the right leg with density 15 kg/m3, what is the length of the third liquid?","a)	1 cm","b)	2 cm","c)	3 cm","d)	4 cm",b,"Explanation: Pressure on both legs should be equal, => 8*10 = 10*5 + 15*x, => x = 2 cm."
Question150,"10. A barometer has liquid level 10 cm above the outside level and the gas captured inside has the pressure of 0.5 atm, what is the density of liquid?","a)	0.5 atm-s2/m2","b)	1 atm-s2/m2","c)	1.5 atm-s2/m2","d)	2 atm-s2/m2",a,"Explanation: Pressure of gas + Pressure of liquid = atmospheric pressure, => 0.5 atm + d*10*0.1 = 1 atm, => d = 0.5 atm-s2/m2."
Question151,"11. A barometer has liquid of density 1 kg/m3 of level 5 cm below the outside level, what is the pressure of the gas captured inside?","a)	0.5 atm + 1 Pa","b)	1 atm + 0.5 Pa","c)	1.5 atm + 1 Pa","d)	2 atm + 0.5 Pa",b,Explanation: Pressure of gas = Pressure of liquid + atmospheric pressure = 1*10*0.05 Pa + 1 atm = 0.5 Pa + 1 atm.
Question152,"12. A barometer has liquid with density 1 Kg/m3, and the gas has pressure 0.5 atm, what is the height of liquid level?","a)	0.01 atm-m2-s2/kg","b)	0.05 atm-m2-s2/kg","c)	0.1 atm-m2-s2/kg","d)	0.5 atm-m2-s2/kg",b,"Explanation: Pressure of gas + Pressure of Liquid = atmospheric pressure, => 0.5 atm + 1*10*h = 1 atm, => h = 0.05 atm-m2-s2/kg."
Question153,"13. A barometer the liquid-1 with density 2 Kg/m3 and height 5 cm below the outside level and above that liquid-2 with density 0.5 Kg/m3 and length 10 cm, what is the gauge pressure of the gas?","a)	0.01 Pa","b)	0.05 Pa","c)	0.1 Pa","d)	0.5 Pa",d,"Explanation: Gauge pressure of gas + Pressure of liquid-2 = Pressure of liquid-1, => Gauge pressure of gas = 2*10*0.05Ð 0.5*10*0.1 = 0.5 Pa."
Question154,"14. A barometer has liquid-1 with density 5 Kg/m3 and height 10 cm below the outside level above that there is liquid-2 of length 5 cm, if the gauge pressure of the gas is 1 Pa, what is the density of liquid-2?","a)	2 Kg/m3","b)	4 Kg/m3","c)	6 Kg/m3","d)	8 Kg/m3",d,"Explanation: Gauge pressure of gas + Pressure of liquid-2 = Pressure of liquid-1, => 1 + d*10*0.05 = 5*10*0.1, => d = 8 Kg/m3."
Question155,"15. A barometer has liquid-1 with density 1 Kg/m3 and height 10 cm below the outside level above that a liquid-2, if the gauge pressure of gas is 0.5 Pa, what is the pressure liquid-2?","a)	0.5 Pa","b)	1 Pa","c)	1.5 Pa","d)	2 Pa",a,"Explanation: Gauge pressure of gas + Pressure of liquid-2 = Pressure of liquid-1, => Pressure of liquid-2 = 1*10*0.1 Ð 0.5 = 0.5 Pa."
Question156,1. Which of the following does the concept of material balance based upon?,"a)	Conservation of mass","b)	Conservation of energy","c)	Conservation of momentum","d)	Conservation of Volume",a,Explanation: Material is simply conservation of mass.
Question157,"2. The equation of material balance, (Final condition + Sum of outputs) is equal to which of the following?","a)	Initial condition Ð Sum of inputs","b)	Initial condition + Sum of inputs","c)	Sum of inputs Ð Initial condition","d)	None of the mentioned",b,"Explanation: Equation of material balance is Final condition Ð Initial condition = Sum of inputs Ð Sum of outputs, => Final condition + Sum of outputs = Initial condition + Sum of inputs."
Question158,"3. A container has 10 grams of water 5 grams of water is added and 2 grams of water is taken out, what is the final amount of water?","a)	7 grams","b)	10 grams","c)	13 grams","d)	15 grams",c,Explanation: Final condition = Initial condition + sum of inputs Ð sum of outputs = 10 + 5 Ð 2 = 13 grams.
Question159,"4. 10 moles of O2 is added to 10 moles of H2, how many moles of H2O will it produce?","a)	5","b)	10","c)	15","d)	20",b,"Explanation: Balanced equation is 2H2 + O2 -> 2H2O, => Moles of H2O = Moles of H2 = 10."
Question160,"5. A combustion reaction has reactants 1 mole of CxHy and 2 moles of O2 and products 1 mole of CO2 and 2 mole of H2O, what is x + y?","a)	1","b)	3","c)	4","d)	5",d,"Explanation: Moles of C, H and O in reactants = Moles of C, H and O in products, => C: 1*x = 1*1 => x = 1, H: 1*y = 2*2 => x + y = 5."
Question161,"6. In a random reaction 2 mole of CH4 and 1 mole of C2H4 are reacted, and 1 mole of C3H8 and 1 mole of CxHy are produced, what is x*y?","a)	2","b)	4","c)	8","d)	12",b,"Explanation: Material balance for C: 2*1 + 1*2 =1*3 +1*x, => x = 1, for H: 2*4 + 1*4 = 1*8 + 1*y, => y = 4, => x*y = 4."
