Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation,,,,,,,,,,,,,,,,,,,
Question 105,5. Point out the wrong statement :,a) Virtual appliances are becoming a very important standard cloud computing deployment object,b) Cloud computing requires some standard protocols,c) Cloud computing relies on a set of protocols needed to manage interprocess communications,d) None of the mentioned,d,Explanation: Many of these protocols are standard Internet protocols.,,,,,,,,,,,,,,,,,,,
Question 106,6. The most commonly used set of protocols uses ______ as the messaging format.,a) XML,b) JSON,c) BSON,d) All of the mentioned,a,Explanation: Cloud computing builds on the architecture developed for staging large distributed network applications on the Internet.,,,,,,,,,,,,,,,,,,,
Question 107,7. Which of the following language is used to manage transactions ?,a) WSDL,b) XML,c) SOAP,d) All of the mentioned,a,Explanation: WSDL is an XML format for describing network services as a set of endpoints operating on messages containing either document-oriented or procedure-oriented information.,,,,,,,,,,,,,,,,,,,
Question 108,8. Which of the architectural layer is used as backend in cloud computing ?,a) client,b) cloud,c) soft,d) all of the mentioned,b,Explanation: The cloud creates a system where resources can be pooled and partitioned as needed.,,,,,,,,,,,,,,,,,,,
Question 109,9. A ________ cloud requires virtualized storage to support the staging and storage of data.,a) soft,b) compute,c) local,d) none of the mentioned,b,"Explanation: From a user’s perspective, it is important that the resources appear to be infinitely scalable, that the service be measurable, and that the pricing be metered.",,,,,,,,,,,,,,,,,,,
Question 110,10. A _______ system uses components to assemble services that can be tailored for a specific purpose using standard parts.,a) reliable,b) scalable,c) composable,d) none of the mentioned,c,"Explanation: Applications built in the cloud often have the property of being built from a collection of components, a feature referred to as composability.",,,,,,,,,,,,,,,,,,,
Question 111,1. A _______ service provider gets the same benefits from a composable system that a user does.,a) CaaS,b) AaaS,c) PaaS,d) All of the mentioned,c,"Explanation: If you are a PaaS or SaaS service provider and your task is to create the platform or service presented to the developer, reseller, or user, the notion of working with a composable system is still a very powerful one.",,,,,,,,,,,,,,,,,,,
Question 112,2. Point out the correct statement :,a) Cloud architecture can couple software running on virtualized hardware in multiple locations to provide an on-demand service,b) Cloud computing relies on a set of protocols needed to manage interprocess communications,c) Platforms are used to create more complex software,d) All of the mentioned,d,Explanation: The most commonly used services uses a set of discovery and description protocols based on WSDL.,,,,,,,,,,,,,,,,,,,
Question 113,3. Which of the following is the property of composable component ?,a) stateful,b) stateless,c) symmetric,d) all of the mentioned,b,Explanation: A transaction is executed without regard to other transactions or requests.,,,,,,,,,,,,,,,,,,,
Question 114,"4. From the standpoint of an ________, it makes no sense to offer non-standard machine instances to customers.",a) CaaS,b) AaaS,c) PaaS,d) IaaS,d,"Explanation: Because those customers are almost certainly deploying applications built on standard operating systems such as Linux, Windows, Solaris, or some other well-known operating system.",,,,,,,,,,,,,,,,,,,
Question 115,5. Point out the wrong statement :,a) A cloud cannot be created within an organization’s own infrastructure or outsourced to another datacenter,b) A composable component must be modular,c) A composable component must be stateless,d) None of the mentioned,a,"Explanation: While resources in a cloud can be real physical resources, more often they are virtualized resources because virtualized resources are easier to modify and optimize.",,,,,,,,,,,,,,,,,,,
Question 116,6. A service provider reselling an ____ may have the option to offer one module to customize the information.,a) CaaS,b) AaaS,c) PaaS,d) SaaS,d,Explanation: Modifications are generally severely limited.,,,,,,,,,,,,,,,,,,,
Question 117,7. Which of the following is highest degree of integration in cloud computing ?,a) CaaS,b) AaaS,c) PaaS,d) SaaS,d,Explanation: An SaaS vendor such as Quicken.com or Salesforce.com is delivering an application as a service to a customer.,,,,,,,,,,,,,,,,,,,
Question 118,8. Which of the architectural layer is used as front end in cloud computing ?,a) client,b) cloud,c) soft,d) all of the mentioned,a,Explanation: Cloud computing may be differentiated from older models by describing an encapsulated information technology service that is often controlled through an Application Programming Interface (API).,,,,,,,,,,,,,,,,,,,
Question 119,9. Which of the following benefit is provided by PaaS service provider ?,a) A larger pool of qualified developers,b) More reliable operation,c) A logical design methodology,d) All of the mentioned,d,Explanation: The essence of a service oriented design is that services are constructed from a set of modules using standard communications and service interfaces.,,,,,,,,,,,,,,,,,,,
Question 120,10. Communication between services is done widely using _______ protocol.,a) REST,b) SOAP,c) RESTful,d) None of the mentioned,b,Explanation: There are alternative sets of standards as well.,,,,,,,,,,,,,,,,,,,
Question 121,1. Which of the following provider rely on virtual machine technology to deliver servers ?,a) CaaS,b) AaaS,c) PaaS,d) IaaS,d,Explanation: Most large Infrastructure as a Service (IaaS) providers rely on virtual machine technology that can run applications.,,,,,,,,,,,,,,,,,,,
Question 122,2. Point out the correct statement :,a) Virtual machines are containers that are assigned specific resources,b) Applications need not be mindful of how they use cloud resources,"c) When a developer creates an application that uses a cloud service, the developer cannot attach to the  appropriate service",d) All of the mentioned,a,Explanation: The software that runs in the virtual machines is what defines the utility of the cloud computing system.,,,,,,,,,,,,,,,,,,,
Question 123,3. Which of the following component is called hypervisor ?,a) VMM,b) VMc,c) VMM,d) All of the mentioned,c,Explanation: VMM component is also called hypervisor.,,,,,,,,,,,,,,,,,,,
Question 124,4. Applications such as a Web server or database server that can run on a virtual machine image are referred to as :,a) virtual server,b) virtual appliances,c) machine imaging,d) all of the mentioned,b,Explanation: The name virtual appliance is a little misleading because it conjures up the image of a machine that serves a narrow purpose.,,,,,,,,,,,,,,,,,,,
Question 125,5. Point out the wrong statement :,a) Platforms represent nearly the full cloud software stack,b) A platform in the cloud is a software layer that is used to create higher levels of service,c) Platforms often come replete with tools and utilities to aid in application design and deployment,d) None of the mentioned,d,Explanation: Most platforms begin by establishing a developer community to support the work done in the environment.,,,,,,,,,,,,,,,,,,,
Question 126,6. _________ allows different operating systems to run in their own memory space.,a) VMM,b) VMc,c) VMM,d) All of the mentioned,c,Explanation: VMM manages I/O for the virtual machines.,,,,,,,,,,,,,,,,,,,
Question 127,7. Amazon Machine Images are virtual appliances that have been packaged to run on the grid of ____ nodes.,a) Ben,b) Xen,c) Ken,d) Zen,b,Explanation: You run across virtual appliances in IaaS systems such as Amazon’s Elastic Compute Cloud.,,,,,,,,,,,,,,,,,,,
Question 128,"8. Which of the following offers virtual appliances, including ones based on Windows, all of which run on VMware Player ?",a) Bagvapp,b) Jcinacio,c) HelpdeskLive,d) All of the mentioned,a,Explanation: Virtual appliances have begun to affect the PC industry in much the same way that application stores have affected the cell phone industry.,,,,,,,,,,,,,,,,,,,
Question 129,9. ________ offers various Linux distributions upon which you can build a virtual machine.,a) Bagvapp,b) Jcinacio,c) HelpdeskLive,d) All of the mentioned,b,Explanation: Jcinacio has Ubuntu appliances.,,,,,,,,,,,,,,,,,,,
Question 130,10. __________ is a CPU emulator and virtual machine monitor.,a) Imaging,b) Parallels,c) QEMU,d) None of the mentioned,c,"Explanation: Parallels hosts a variety of appliances that includes Linux distros, server software, and other products.",,,,,,,,,,,,,,,,,,,
Question 131,1. Which of the following is a virtual machine technology now owned by Oracle that can run various operating systems ?,a) Vmachines,b) VirtualBox,c) ThoughtPolice,d) None of the mentioned,b,Explanation: VirtualBox serves as a host for a variety of virtual appliances.,,,,,,,,,,,,,,,,,,,
Question 132,2. Point out the correct statement :,a) JumpIt is an open-source virtual appliance installation and management service,b) Converting a virtual appliance from one platform to another is easy proposition,"c) Nearly all major virtualization platform vendors support OVF, notably VMware, Microsoft, Oracle, and Citrix",d) All of the mentioned,c,Explanation: Efforts are underway to create file format standards for these types of objects that make the task easier.,,,,,,,,,,,,,,,,,,,
Question 133,3. Which of the following lets a Web service advertise itself in terms of a collection of endpoints ?,a) WSDL,b) VMc,c) SOAP,d) All of the mentioned,a,Explanation: The most commonly used model for discovery and description used with SOAP messaging is the Web Services Description Language (WSDL).,,,,,,,,,,,,,,,,,,,
