Question,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 712,7. Weak AI is,a) the embodiment of human intellectual capabilities within a computer,b) a set of computer programs that produce output that would be considered to reflect intelligence if it were generated by humans,c) the study of mental faculties using mental models implemented on a computer,d) all of the mentioned,c,Explanation: None. 
Question 713,"8. In LISP, the function returns t if is a CONS cell and nil otherwise:",a) (cons ),b) (consp ),c) (eq ),d) (cous =),b,Explanation: None. 
Question 714,"9. In a rule-based system, procedural domain knowledge is in the form of:",a) production rules,b) rule interpreters,c) meta-rules,d) control rules,a,Explanation: None. 
Question 715,"10. If a robot can alter its own trajectory in response to external conditions, it is considered to be:",a) intelligent,b) mobile,c) open loop,d) non-servo,a,Explanation: None. 
Question 716,"11. In LISP, the function assigns the symbol x to y is",a) (setq y x),b) (set y = ‘x’),c) (setq y = ‘x’),d) (setq y ‘x’),d,"Explanation: None."
Question 717,12. One of the leading American robotics centers is the Robotics Institute located at:,a) CMU,b) MIT,c) RAND,d) SRI,a,Explanation: None. 
Question 718,"1. In LISP, the function (minusp (-20 4 8 8 1) returns",a) T,b) F,c) NIL,d) -20,a,Explanation: None. 
Question 719,"2. In LISP, which of the following function assigns the value 10 to the symbol a?",a) (setq a 10),b) (a = b) where b = 10,c) (a = 10) (d) (setq 10 a),d) All of the mentioned,a,Explanation: None. 
Question 720,"3. In LISP, the atom that stands for “False” is",a) t,b) nil,c) y,d) time,b,Explanation: None. 
Question 721,4. The expert system developed at MIT to solve mathematical problems is known as:,a) RAND,b) ISIS,c) MACSYMA,d) MOLGEN,c,Explanation: None. 
Question 722,5. Which approach to speech recognition avoids the problem caused by the differences in the way words are pronounced according to context?,a) continuous speech recognition,b) connected word recognition,c) isolated word recognition,d) speaker-dependent recognition,c,Explanation: None. 
Question 723,6. A KES knowledge base contains information in the form of:,a) associations,b) actions,c) free text,d) all of the mentioned,d,Explanation: None. 
Question 724,"7. In AI programming, a list may contain:",a) cells,b) fields,c) pointers,d) all of the mentioned,d,Explanation: None. 
Question 725,"8. In LISP, the function (minusp (-20 4 8 8 1) returns",a) T,b) F,c) NIL,d) -20,a,Explanation: None. 
Question 726,9. Special programs that assist programmers are called:,a) heuristic processors,b) symbolic programmers,c) intelligent programming tools,d) program recognizers,c, Explanation: None. 
Question 727,"10. If the English Philosopher Thomas Hobbes could be called ‘grandfather’ of artificial intelligence, then who could be called its father?",a) A.M. Turning,b) John McCarthy,c) Allen Newell,d) Herbert Simon,a,Explanation: None. 
Question 728,1. LISP machines also are known as:,a) AI workstations,b) Time-sharing terminals,c) Super mini computers,d) All of the mentioned,a,Explanation: None. 
Question 729,2. Natural language processing can be divided into the two subfields of:,a) context and expectations,b) generation and understanding,c) semantics of pragmatics,d) recognition and synthesis,b,Explanation: None. 
Question 730,"3. How many ALU(s) is/are control by one control unit is SIMD (single instruction stream, multiple data stream) architecture?",a) one or more ALUs,b) One ALU,c) Only two ALU,d) Impossible to say,a,Explanation: None. 
Question 731,4.  Which of the following function returns t if the object is a number in LISP?,a) (number <object>),b) (numberp <object>),c) (numericp <object>),d) (numeric <object>),b,Explanation: None. 
Question 732,5. Which of the following have computers traditionally done better than people?,a) storing information,b) responding flexibly,c) computing numerically,d) both storing information & computing numerically,d,Explanation: None. 
Question 733,"6. The characteristics of the computer system capable of thinking, reasoning and learning is known is",a) machine intelligence,b) human intelligence,c) artificial intelligence,d) virtual intelligence,c,Explanation: None. 
Question 734,7. What part of the manufacturing process relate to each stage of the process and to the process as a whole?,a) field service,b) design,c) distribution,d) project management,d,Explanation: None. 
Question 735,8. The area of AI that investigates methods of facilitating communication between people and computers is:,a) natural language processing,b) symbolic processing,c) decision support,d) robotics,a,Explanation: None. 
Question 736,"9. In the 16th century, a Czech rabbi reportedly created a living clay man whose name has become a synonym for an artificial human. The clay man’s name was:",a) Frankenstein,b) Golem,c) Paracelsus,d) Hal,b,Explanation: None. 
Question 737,"10. For speech understanding systems to gain widespread acceptance in office automation, they must feature:",a) speaker independence,b) speaker dependence,c) isolated word recognition,d) all of the mentioned,a,Explanation: None. 
Question 738,1. What is a Cybernetics?,a) Study of communication between two machines,b) Study of communication between human and machine,c) Study of communication between two humans,d) Study  of Boolean values,b,Explanation: Cybernetics is Study of communication between human and machine. 
Question 739,2. What is the goal of artificial intelligence?,a) To solve real-world problems,b) To solve artificial problems,c) To explain various sorts of intelligence,d) To extract scientific causes,c,Explanation: The scientific goal of artificial intelligence is to explain various sorts of intelligence. 
Question 740,3. An algorithm is complete if,a) It terminates with a solution when one exists,b) It starts with a solution,c) It does not terminate with a solution,d) It has a loop,a,Explanation: An Algorithm is complete if It terminates with a solution when one exists. 
